"Indicador","Fuente","País","Año","Valor","Unidad"
"Capacidad instalada por fuente","Térmica no renovable","América del Sur","2006","56496.04584909","MW"
"Capacidad instalada por fuente","Nuclear","América del Sur","2006","3012","MW"
"Capacidad instalada por fuente","Geotermia","América del Sur","2006","0","MW"
"Capacidad instalada por fuente","Eólica","América del Sur","2006","256.128133","MW"
"Capacidad instalada por fuente","Solar","América del Sur","2006","0.143524","MW"
"Capacidad instalada por fuente","Otros","América del Sur","2006","0","MW"
"Capacidad instalada por fuente","Térmica renovable","América del Sur","2006","3878.4052008742","MW"
"Capacidad instalada por fuente","Total","América del Sur","2006","190223.33255696","MW"
"Capacidad instalada por fuente","Hidro","América del Sur","2007","131520.51045","MW"
"Capacidad instalada por fuente","Térmica no renovable","América del Sur","2007","58816.7424185","MW"
"Capacidad instalada por fuente","Nuclear","América del Sur","2007","3012","MW"
"Capacidad instalada por fuente","Geotermia","América del Sur","2007","0","MW"
"Capacidad instalada por fuente","Eólica","América del Sur","2007","286.728133","MW"
"Capacidad instalada por fuente","Solar","América del Sur","2007","0.944074","MW"
"Capacidad instalada por fuente","Otros","América del Sur","2007","0","MW"
"Capacidad instalada por fuente","Térmica renovable","América del Sur","2007","4462.389","MW"
"Capacidad instalada por fuente","Total","América del Sur","2007","198099.3140755","MW"
"Capacidad instalada por fuente","Hidro","América del Sur","2008","132297.54465","MW"
"Capacidad instalada por fuente","Térmica no renovable","América del Sur","2008","62768.140715303","MW"
"Capacidad instalada por fuente","Nuclear","América del Sur","2008","3012","MW"
"Capacidad instalada por fuente","Geotermia","América del Sur","2008","0","MW"
"Capacidad instalada por fuente","Eólica","América del Sur","2008","452.328133","MW"
"Capacidad instalada por fuente","Solar","América del Sur","2008","1.279899","MW"
"Capacidad instalada por fuente","Otros","América del Sur","2008","0","MW"
"Capacidad instalada por fuente","Térmica renovable","América del Sur","2008","5461.3451846971","MW"
"Capacidad instalada por fuente","Total","América del Sur","2008","203992.638582","MW"
"Capacidad instalada por fuente","Hidro","América del Sur","2009","133831.47345","MW"
"Capacidad instalada por fuente","Térmica no renovable","América del Sur","2009","66008.110260491","MW"
"Capacidad instalada por fuente","Nuclear","América del Sur","2009","3012","MW"
"Capacidad instalada por fuente","Geotermia","América del Sur","2009","0","MW"
"Capacidad instalada por fuente","Eólica","América del Sur","2009","735.928133","MW"
"Capacidad instalada por fuente","Solar","América del Sur","2009","1.717459","MW"
"Capacidad instalada por fuente","Otros","América del Sur","2009","0","MW"
"Capacidad instalada por fuente","Térmica renovable","América del Sur","2009","6222.3764335091","MW"
"Capacidad instalada por fuente","Total","América del Sur","2009","209811.605736","MW"
"Capacidad instalada por fuente","Hidro","América del Sur","2010","136563.3882","MW"
