"Indicador","Fuente"," ISO Alfa3","ISO  N","Codigo","País","Año","Valor","Unidad"
"Generación eléctrica por fuente","Solar","","","Subregión","América Central","2007","0.37986948633879","GWh"
"Generación eléctrica por fuente","Otros","","","Subregión","América Central","2007","0","GWh"
"Generación eléctrica por fuente","Térmica renovable","","","Subregión","América Central","2007","1352.5477080165","GWh"
"Generación eléctrica por fuente","Total","","","Subregión","América Central","2007","38543.386783628","GWh"
"Generación eléctrica por fuente","Hidro","","","Subregión","América Central","2008","20007.405371815","GWh"
"Generación eléctrica por fuente","Térmica no renovable","","","Subregión","América Central","2008","14946.739605572","GWh"
"Generación eléctrica por fuente","Nuclear","","","Subregión","América Central","2008","0","GWh"
"Generación eléctrica por fuente","Geotermia","","","Subregión","América Central","2008","3145.5902302711","GWh"
"Generación eléctrica por fuente","Eólica","","","Subregión","América Central","2008","198.16453784","GWh"
"Generación eléctrica por fuente","Solar","","","Subregión","América Central","2008","0.38291228576562","GWh"
"Generación eléctrica por fuente","Otros","","","Subregión","América Central","2008","0","GWh"
"Generación eléctrica por fuente","Térmica renovable","","","Subregión","América Central","2008","1271.2595530889","GWh"
"Generación eléctrica por fuente","Total","","","Subregión","América Central","2008","39569.542210873","GWh"
"Generación eléctrica por fuente","Hidro","","","Subregión","América Central","2009","18806.612668735","GWh"
"Generación eléctrica por fuente","Térmica no renovable","","","Subregión","América Central","2009","15865.715826219","GWh"
"Generación eléctrica por fuente","Nuclear","","","Subregión","América Central","2009","0","GWh"
"Generación eléctrica por fuente","Geotermia","","","Subregión","América Central","2009","3183.7567687656","GWh"
"Generación eléctrica por fuente","Eólica","","","Subregión","América Central","2009","438.18114519","GWh"
"Generación eléctrica por fuente","Solar","","","Subregión","América Central","2009","0.45656226721382","GWh"
"Generación eléctrica por fuente","Otros","","","Subregión","América Central","2009","0","GWh"
"Generación eléctrica por fuente","Térmica renovable","","","Subregión","América Central","2009","1673.9764603453","GWh"
"Generación eléctrica por fuente","Total","","","Subregión","América Central","2009","39968.699431521","GWh"
"Generación eléctrica por fuente","Hidro","","","Subregión","América Central","2010","21204.146446898","GWh"
"Generación eléctrica por fuente","Térmica no renovable","","","Subregión","América Central","2010","14889.247404529","GWh"
"Generación eléctrica por fuente","Nuclear","","","Subregión","América Central","2010","0","GWh"
"Generación eléctrica por fuente","Geotermia","","","Subregión","América Central","2010","3161.5018614043","GWh"
"Generación eléctrica por fuente","Eólica","","","Subregión","América Central","2010","522.06704642","GWh"
"Generación eléctrica por fuente","Solar","","","Subregión","América Central","2010","0.73831481764892","GWh"
"Generación eléctrica por fuente","Otros","","","Subregión","América Central","2010","0","GWh"
"Generación eléctrica por fuente","Térmica renovable","","","Subregión","América Central","2010","1591.9783847546","GWh"
"Generación eléctrica por fuente","Total","","","Subregión","América Central","2010","41369.679458824","GWh"
"Generación eléctrica por fuente","Hidro","","","Subregión","América Central","2011","20523.833541619","GWh"
"Generación eléctrica por fuente","Térmica no renovable","","","Subregión","América Central","2011","16371.368853676","GWh"
"Generación eléctrica por fuente","Nuclear","","","Subregión","América Central","2011","0","GWh"
"Generación eléctrica por fuente","Geotermia","","","Subregión","América Central","2011","3223.2206049254","GWh"
"Generación eléctrica por fuente","Eólica","","","Subregión","América Central","2011","656.57262848","GWh"
"Generación eléctrica por fuente","Solar","","","Subregión","América Central","2011","2.2075098712706","GWh"
"Generación eléctrica por fuente","Otros","","","Subregión","América Central","2011","0","GWh"
"Generación eléctrica por fuente","Térmica renovable","","","Subregión","América Central","2011","2269.1484772465","GWh"
"Generación eléctrica por fuente","Total","","","Subregión","América Central","2011","43046.351615819","GWh"
"Generación eléctrica por fuente","Hidro","","","Subregión","América Central","2012","22509.470808433","GWh"
"Generación eléctrica por fuente","Térmica no renovable","","","Subregión","América Central","2012","16120.132612084","GWh"
"Generación eléctrica por fuente","Nuclear","","","Subregión","América Central","2012","0","GWh"
"Generación eléctrica por fuente","Geotermia","","","Subregión","América Central","2012","3599.9792220648","GWh"
"Generación eléctrica por fuente","Eólica","","","Subregión","América Central","2012","1196.22128545","GWh"
"Generación eléctrica por fuente","Solar","","","Subregión","América Central","2012","2.9078132271703","GWh"
"Generación eléctrica por fuente","Otros","","","Subregión","América Central","2012","0","GWh"
"Generación eléctrica por fuente","Térmica renovable","","","Subregión","América Central","2012","2208.2955777279","GWh"
"Generación eléctrica por fuente","Total","","","Subregión","América Central","2012","45637.007318987","GWh"
"Generación eléctrica por fuente","Hidro","","","Subregión","América Central","2013","21898.296748363","GWh"
"Generación eléctrica por fuente","Térmica no renovable","","","Subregión","América Central","2013","17204.53282315","GWh"
"Generación eléctrica por fuente","Nuclear","","","Subregión","América Central","2013","0","GWh"
"Generación eléctrica por fuente","Geotermia","","","Subregión","América Central","2013","3851.8148937802","GWh"
"Generación eléctrica por fuente","Eólica","","","Subregión","América Central","2013","1357.9750513602","GWh"
"Generación eléctrica por fuente","Solar","","","Subregión","América Central","2013","7.792458476658","GWh"
"Generación eléctrica por fuente","Otros","","","Subregión","América Central","2013","0","GWh"
"Generación eléctrica por fuente","Térmica renovable","","","Subregión","América Central","2013","2542.0535953928","GWh"
"Generación eléctrica por fuente","Total","","","Subregión","América Central","2013","46862.465570523","GWh"
"Generación eléctrica por fuente","Hidro","","","Subregión","América Central","2014","21551.389508862","GWh"
"Generación eléctrica por fuente","Térmica no renovable","","","Subregión","América Central","2014","17787.125039318","GWh"
"Generación eléctrica por fuente","Nuclear","","","Subregión","América Central","2014","0","GWh"
"Generación eléctrica por fuente","Geotermia","","","Subregión","América Central","2014","3886.7904104836","GWh"
"Generación eléctrica por fuente","Eólica","","","Subregión","América Central","2014","2095.32756249","GWh"
"Generación eléctrica por fuente","Solar","","","Subregión","América Central","2014","26.220641674478","GWh"
"Generación eléctrica por fuente","Otros","","","Subregión","América Central","2014","33","GWh"
"Generación eléctrica por fuente","Térmica renovable","","","Subregión","América Central","2014","2645.1395960354","GWh"
"Generación eléctrica por fuente","Total","","","Subregión","América Central","2014","48024.992758864","GWh"
"Generación eléctrica por fuente","Hidro","","","Subregión","América Central","2015","22610.268979004","GWh"
"Generación eléctrica por fuente","Térmica no renovable","","","Subregión","América Central","2015","17917.143407569","GWh"
"Generación eléctrica por fuente","Nuclear","","","Subregión","América Central","2015","0","GWh"
"Generación eléctrica por fuente","Geotermia","","","Subregión","América Central","2015","3743.4722474151","GWh"
"Generación eléctrica por fuente","Eólica","","","Subregión","América Central","2015","3138.7090234879","GWh"
"Generación eléctrica por fuente","Solar","","","Subregión","América Central","2015","622.32022669392","GWh"
"Generación eléctrica por fuente","Otros","","","Subregión","América Central","2015","42","GWh"
"Generación eléctrica por fuente","Térmica renovable","","","Subregión","América Central","2015","3152.0104456474","GWh"
"Generación eléctrica por fuente","Total","","","Subregión","América Central","2015","51225.924329818","GWh"
"Generación eléctrica por fuente","Hidro","","","Subregión","América Central","2016","22701.127693961","GWh"
"Generación eléctrica por fuente","Térmica no renovable","","","Subregión","América Central","2016","18106.569005422","GWh"
"Generación eléctrica por fuente","Nuclear","","","Subregión","América Central","2016","0","GWh"
"Generación eléctrica por fuente","Geotermia","","","Subregión","América Central","2016","3723.8439038359","GWh"
"Generación eléctrica por fuente","Eólica","","","Subregión","América Central","2016","3367.0325409528","GWh"
"Generación eléctrica por fuente","Solar","","","Subregión","América Central","2016","1205.5523878561","GWh"
"Generación eléctrica por fuente","Otros","","","Subregión","América Central","2016","33","GWh"
"Generación eléctrica por fuente","Térmica renovable","","","Subregión","América Central","2016","3575.7246129203","GWh"
"Generación eléctrica por fuente","Total","","","Subregión","América Central","2016","52712.850144948","GWh"
"Generación eléctrica por fuente","Hidro","","","Subregión","América Central","2017","27104.653956244","GWh"
"Generación eléctrica por fuente","Térmica no renovable","","","Subregión","América Central","2017","13951.79512665","GWh"
"Generación eléctrica por fuente","Nuclear","","","Subregión","América Central","2017","0","GWh"
"Generación eléctrica por fuente","Geotermia","","","Subregión","América Central","2017","3674.3214242451","GWh"
"Generación eléctrica por fuente","Eólica","","","Subregión","América Central","2017","3209.5769454814","GWh"
"Generación eléctrica por fuente","Solar","","","Subregión","América Central","2017","1503.5836938828","GWh"
"Generación eléctrica por fuente","Otros","","","Subregión","América Central","2017","34","GWh"
"Generación eléctrica por fuente","Térmica renovable","","","Subregión","América Central","2017","3679.9333174731","GWh"
"Generación eléctrica por fuente","Total","","","Subregión","América Central","2017","53157.864463976","GWh"
"Generación eléctrica por fuente","Hidro","","","Subregión","América Central","2018","26830.91608813","GWh"
"Generación eléctrica por fuente","Térmica no renovable","","","Subregión","América Central","2018","14212.581437142","GWh"
"Generación eléctrica por fuente","Nuclear","","","Subregión","América Central","2018","0","GWh"
"Generación eléctrica por fuente","Geotermia","","","Subregión","América Central","2018","3754.0384548957","GWh"
"Generación eléctrica por fuente","Eólica","","","Subregión","América Central","2018","4435.5718789056","GWh"
"Generación eléctrica por fuente","Solar","","","Subregión","América Central","2018","1803.3811229072","GWh"
"Generación eléctrica por fuente","Otros","","","Subregión","América Central","2018","27.33","GWh"
"Generación eléctrica por fuente","Térmica renovable","","","Subregión","América Central","2018","3864.4985917835","GWh"
"Generación eléctrica por fuente","Total","","","Subregión","América Central","2018","54928.317573763","GWh"
"Generación eléctrica por fuente","Hidro","","","Subregión","América Central","2019","21558.93028043","GWh"
"Generación eléctrica por fuente","Térmica no renovable","","","Subregión","América Central","2019","20651.697222533","GWh"
"Generación eléctrica por fuente","Nuclear","","","Subregión","América Central","2019","0","GWh"
"Generación eléctrica por fuente","Geotermia","","","Subregión","América Central","2019","4221.4615471448","GWh"
"Generación eléctrica por fuente","Eólica","","","Subregión","América Central","2019","4400.175978558","GWh"
"Generación eléctrica por fuente","Solar","","","Subregión","América Central","2019","2229.3001930027","GWh"
"Generación eléctrica por fuente","Otros","","","Subregión","América Central","2019","29","GWh"
"Generación eléctrica por fuente","Térmica renovable","","","Subregión","América Central","2019","4416.6888819209","GWh"
"Generación eléctrica por fuente","Total","","","Subregión","América Central","2019","57507.25410359","GWh"
"Generación eléctrica por fuente","Hidro","","","Subregión","América Central","2020","27043.097573678","GWh"
"Generación eléctrica por fuente","Térmica no renovable","","","Subregión","América Central","2020","13779.378256526","GWh"
"Generación eléctrica por fuente","Nuclear","","","Subregión","América Central","2020","0","GWh"
"Generación eléctrica por fuente","Geotermia","","","Subregión","América Central","2020","4487.317538977","GWh"
"Generación eléctrica por fuente","Eólica","","","Subregión","América Central","2020","3627.7795560563","GWh"
"Generación eléctrica por fuente","Solar","","","Subregión","América Central","2020","2586.4134682393","GWh"
"Generación eléctrica por fuente","Otros","","","Subregión","América Central","2020","26.39","GWh"
"Generación eléctrica por fuente","Térmica renovable","","","Subregión","América Central","2020","4057.4339037604","GWh"
"Generación eléctrica por fuente","Total","","","Subregión","América Central","2020","55607.810297238","GWh"
"Generación eléctrica por fuente","Hidro","","","Subregión","América Central","2021","29930.846542495","GWh"
"Generación eléctrica por fuente","Térmica no renovable","","","Subregión","América Central","2021","14317.02412693","GWh"
"Generación eléctrica por fuente","Nuclear","","","Subregión","América Central","2021","0","GWh"
"Generación eléctrica por fuente","Geotermia","","","Subregión","América Central","2021","4508.0282270751","GWh"
"Generación eléctrica por fuente","Eólica","","","Subregión","América Central","2021","3988.9714696241","GWh"
"Generación eléctrica por fuente","Solar","","","Subregión","América Central","2021","3057.5026786056","GWh"
"Generación eléctrica por fuente","Otros","","","Subregión","América Central","2021","21.279744601252","GWh"
"Generación eléctrica por fuente","Térmica renovable","","","Subregión","América Central","2021","4475.4894527878","GWh"
"Generación eléctrica por fuente","Total","","","Subregión","América Central","2021","60299.142242119","GWh"
"Generación eléctrica por fuente","Hidro","","","Subregión","América del Sur","2000","532284.8269299","GWh"
"Generación eléctrica por fuente","Térmica no renovable","","","Subregión","América del Sur","2000","139058.33179965","GWh"
"Generación eléctrica por fuente","Nuclear","","","Subregión","América del Sur","2000","12223.108","GWh"
"Generación eléctrica por fuente","Geotermia","","","Subregión","América del Sur","2000","0","GWh"
"Generación eléctrica por fuente","Eólica","","","Subregión","América del Sur","2000","36.6321992","GWh"
"Generación eléctrica por fuente","Solar","","","Subregión","América del Sur","2000","0.0517388","GWh"
"Generación eléctrica por fuente","Otros","","","Subregión","América del Sur","2000","0","GWh"
"Generación eléctrica por fuente","Térmica renovable","","","Subregión","América del Sur","2000","9114.34014","GWh"
"Generación eléctrica por fuente","Total","","","Subregión","América del Sur","2000","692717.29080755","GWh"
"Generación eléctrica por fuente","Hidro","","","Subregión","América del Sur","2001","500582.48978774","GWh"
"Generación eléctrica por fuente","Térmica no renovable","","","Subregión","América del Sur","2001","145406.31350841","GWh"
"Generación eléctrica por fuente","Nuclear","","","Subregión","América del Sur","2001","21337.638","GWh"
"Generación eléctrica por fuente","Geotermia","","","Subregión","América del Sur","2001","0","GWh"
"Generación eléctrica por fuente","Eólica","","","Subregión","América del Sur","2001","85.6158992","GWh"
"Generación eléctrica por fuente","Solar","","","Subregión","América del Sur","2001","0.0587388","GWh"
"Generación eléctrica por fuente","Otros","","","Subregión","América del Sur","2001","0","GWh"
"Generación eléctrica por fuente","Térmica renovable","","","Subregión","América del Sur","2001","10078.109637585","GWh"
"Generación eléctrica por fuente","Total","","","Subregión","América del Sur","2001","677490.22557173","GWh"
"Generación eléctrica por fuente","Hidro","","","Subregión","América del Sur","2002","522970.15059932","GWh"
"Generación eléctrica por fuente","Térmica no renovable","","","Subregión","América del Sur","2002","140720.52478939","GWh"
"Generación eléctrica por fuente","Nuclear","","","Subregión","América del Sur","2002","19656.812","GWh"
"Generación eléctrica por fuente","Geotermia","","","Subregión","América del Sur","2002","0","GWh"
"Generación eléctrica por fuente","Eólica","","","Subregión","América del Sur","2002","135.6598992","GWh"
"Generación eléctrica por fuente","Solar","","","Subregión","América del Sur","2002","0.0627388","GWh"
"Generación eléctrica por fuente","Otros","","","Subregión","América del Sur","2002","0","GWh"
"Generación eléctrica por fuente","Térmica renovable","","","Subregión","América del Sur","2002","11257.030744758","GWh"
"Generación eléctrica por fuente","Total","","","Subregión","América del Sur","2002","694740.24077147","GWh"
"Generación eléctrica por fuente","Hidro","","","Subregión","América del Sur","2003","545842.07250449","GWh"
"Generación eléctrica por fuente","Térmica no renovable","","","Subregión","América del Sur","2003","150846.21966305","GWh"
"Generación eléctrica por fuente","Nuclear","","","Subregión","América del Sur","2003","20924.289","GWh"
"Generación eléctrica por fuente","Geotermia","","","Subregión","América del Sur","2003","0","GWh"
"Generación eléctrica por fuente","Eólica","","","Subregión","América del Sur","2003","140.2088992","GWh"
"Generación eléctrica por fuente","Solar","","","Subregión","América del Sur","2003","0.0894609568","GWh"
"Generación eléctrica por fuente","Otros","","","Subregión","América del Sur","2003","0","GWh"
"Generación eléctrica por fuente","Térmica renovable","","","Subregión","América del Sur","2003","13010.86393246","GWh"
"Generación eléctrica por fuente","Total","","","Subregión","América del Sur","2003","730763.74346016","GWh"
